"","date_t","producto","variable"
"135",1999-07-01,"Frutas_rp",0.535268996899685
"136",1999-07-01,"Papa_rp",0.634339245311044
"137",1999-07-01,"Tuberculos_sin_papa_rp",0.685822499852698
"138",1999-07-01,"Chocolate_y_Cafe_rp",0.763032187253947
"139",1999-07-01,"Azucar_y_Panela_rp",0.821933373979427
"140",1999-07-01,"Pescados_y_Mariscos_rp",0.834720138768835
"141",1999-07-01,"Lacteos_rp",0.852347388793597
"142",1999-07-01,"Cereales_sin_Arroz_rp",0.868237386219074
"143",1999-07-01,"Res_rp",0.872470812135682
"144",1999-07-01,"Aceites_y_Grasas_rp",0.927839169518379
"145",1999-07-01,"Frituras_Helados_y_Dulces_rp",0.942927568884604
"146",1999-07-01,"Legumbres_rp",0.964598458281636
"147",1999-07-01,"Arroz_rp",1.00951809605054
"148",1999-07-01,"Carnes_Preparadas_rp",1.01611535808566
"149",1999-07-01,"pollo_y_huevo_rp",1.09512064074836
"150",1999-07-01,"Salsas_Condimentos_y_Sopas_rp",1.1185347073498
"151",1999-07-01,"Cerdo_rp",1.12364351912989
"152",1999-07-01,"Bebidas_No_Alcoholicas_rp",1.19100647456803
"153",1999-08-01,"Hortalizas_rp",0.518318913998548
"154",1999-08-01,"Frutas_rp",0.551002229541703
"155",1999-08-01,"Papa_rp",0.63432038167683
"156",1999-08-01,"Tuberculos_sin_papa_rp",0.693736673516241
"157",1999-08-01,"Chocolate_y_Cafe_rp",0.75521808122855
"158",1999-08-01,"Azucar_y_Panela_rp",0.815627615328134
"159",1999-08-01,"Pescados_y_Mariscos_rp",0.823524575840326
"160",1999-08-01,"Lacteos_rp",0.849983316641518
"161",1999-08-01,"Cereales_sin_Arroz_rp",0.871623027374323
"162",1999-08-01,"Res_rp",0.873871627196719
"163",1999-08-01,"Aceites_y_Grasas_rp",0.911044650144995
"164",1999-08-01,"Frituras_Helados_y_Dulces_rp",0.940744615957562
"165",1999-08-01,"Arroz_rp",1.00248004601168
"166",1999-08-01,"Legumbres_rp",1.0079184342273
"167",1999-08-01,"Carnes_Preparadas_rp",1.0117937333872
"168",1999-08-01,"pollo_y_huevo_rp",1.10227225284782
"169",1999-08-01,"Cerdo_rp",1.11264726334173
"170",1999-08-01,"Salsas_Condimentos_y_Sopas_rp",1.11754707801775
"171",1999-08-01,"Bebidas_No_Alcoholicas_rp",1.18152359730524
"172",1999-09-01,"Hortalizas_rp",0.519082604986037
"173",1999-09-01,"Frutas_rp",0.531586803858624
"174",1999-09-01,"Papa_rp",0.657426086649987
"175",1999-09-01,"Tuberculos_sin_papa_rp",0.703010952555288
"176",1999-09-01,"Chocolate_y_Cafe_rp",0.750635874158279
"177",1999-09-01,"Azucar_y_Panela_rp",0.814474240380383
"178",1999-09-01,"Pescados_y_Mariscos_rp",0.822179205863418
